id,name,role,status,allowed_as_input_before_freeze,allowed_as_scoring_after_freeze,debt_links,closure_rule
ANCHOR-001,electron mass as normalization anchor,mass_anchor,FORBIDDEN_INPUT_FOR_DERIVATION,False,True,DEBT-006;DEBT-007,v6.7 must derive S_e without reading m_e as an input; only then electron mass may be used for post-freeze scoring.
ANCHOR-002,muon and tau measured masses,benchmark_table,SCORING_ONLY_AFTER_FREEZE,False,True,DEBT-006;DEBT-007,Any formula using measured muon/tau values before fingerprint freeze is invalidated and quarantined.
ANCHOR-003,proton mass as hadron scale denominator,ratio_denominator,SCORING_ONLY_AFTER_FREEZE,False,True,DEBT-006;DEBT-009,Hadron sector must either derive an absolute scale or mark all proton-normalized results as ratio-only.
ANCHOR-004,u-quark and c-quark inherited anchors,mass_anchor,FORBIDDEN_INPUT_FOR_DERIVATION,False,True,DEBT-006;DEBT-009,Quark sector must route through explicit confinement / triplet / meson operators before benchmark scoring.
ANCHOR-005,Planck energy E0 from accepted dimensional constants,dimensional_normalizer,ALLOWED_DIMENSIONAL_NORMALIZER,True,True,DEBT-006;DEBT-007,Any mass claim still requires independently derived dimensionless information action S_I.
ANCHOR-006,Landauer scale kBT ln2 and Schumann quantum h f0,dimensional_normalizer,ALLOWED_DIMENSIONAL_NORMALIZER,True,True,DEBT-006,May be used only with explicit N_eff ledger and cannot masquerade as a derived particle mass scale.
ANCHOR-007,F_hadron / exact hadron scale candidates,calibration_scale,QUARANTINED,False,False,DEBT-005;DEBT-006;DEBT-009,Promote only after source-derived operator path is demonstrated without benchmark masses.
ANCHOR-008,PDG / measured particle tables,benchmark_table,SCORING_ONLY_AFTER_FREEZE,False,True,DEBT-005;DEBT-006,All benchmarks must reference a formula fingerprint generated before table read/scoring.
ANCHOR-009,v6.1 information-action target ledger generated from measured masses,target_ledger,SCORING_ONLY_AFTER_FREEZE,False,True,DEBT-006;DEBT-007,"v6.7 must calculate S_I from geometry first, then compare to the target ledger."
ANCHOR-010,Information Operator OI = ln2/(24*pi),operator_constant,BLOCKED_PENDING_SOURCE_INDEX,True,True,DEBT-006;DEBT-011,v6.6/v6.5-next source index must bind OI to source documents and operator provenance.
ANCHOR-011,Ramanujan scaling component,operator_constant,BLOCKED_PENDING_SOURCE_INDEX,True,True,DEBT-006;DEBT-011,Source index must bind the Ramanujan operator to exact documents/fragments before further promotion.
ANCHOR-012,sigma(n)/R(n) prime-product hadron carrier,operator_constant,BLOCKED_PENDING_SOURCE_INDEX,True,True,DEBT-006;DEBT-009;DEBT-011,Use for frozen ratio hypotheses only until source index and sector split are complete.
