candidate,slot,predicted_mev_diagnostic,benchmark_mev,ratio_pred_over_benchmark,absolute_relative_error,formula,role,uses_lepton_F,uses_tau_v2,unit_anchor_electron_inherited_from_v4_7,mass_prediction_claimed,debt9_numeric_closure_allowed
v47_baseline,e,0.51099895,0.51099895,1.0,0.0,m_48=m_47,baseline from v4.7; shows mu high / tau low inversion,False,False,True,False,False
v47_baseline,mu,1840.810358414153,105.6583755,17.42228526326484,16.42228526326484,m_48=m_47,baseline from v4.7; shows mu high / tau low inversion,False,False,True,False,False
v47_baseline,tau,658.5165474967749,1776.86,0.3706068837706825,0.6293931162293175,m_48=m_47,baseline from v4.7; shows mu high / tau low inversion,False,False,True,False,False
doc_F_mass_screen_release,e,0.51099895,0.51099895,1.0,0.0,m_mu=m47_mu*F_e_mu; m_tau=m47_tau/F_e_tau; electron unchanged,direct document F_ij mass-level screen/release diagnostic,True,False,True,False,False
doc_F_mass_screen_release,mu,266.9175019700522,105.6583755,2.5262313631734017,1.5262313631734017,m_mu=m47_mu*F_e_mu; m_tau=m47_tau/F_e_tau; electron unchanged,direct document F_ij mass-level screen/release diagnostic,True,False,True,False,False
doc_F_mass_screen_release,tau,2180.518369194619,1776.86,1.2271751118234522,0.22717511182345218,m_mu=m47_mu*F_e_mu; m_tau=m47_tau/F_e_tau; electron unchanged,direct document F_ij mass-level screen/release diagnostic,True,False,True,False,False
tau_v2_action_gate,e,0.51099895,0.51099895,1.0,0.0,m_i=m47_i*exp(kappa*(tau_v2_i-tau_v2_e)),frozen tau_v2 information-action gate only,False,True,True,False,False
tau_v2_action_gate,mu,1115.7387723961742,105.6583755,10.559870593469178,9.559870593469178,m_i=m47_i*exp(kappa*(tau_v2_i-tau_v2_e)),frozen tau_v2 information-action gate only,False,True,True,False,False
tau_v2_action_gate,tau,1136.4240837114323,1776.86,0.6395687244416738,0.3604312755583262,m_i=m47_i*exp(kappa*(tau_v2_i-tau_v2_e)),frozen tau_v2 information-action gate only,False,True,True,False,False
doc_F_plus_tau_v2_full_action,e,0.51099895,0.51099895,1.0,0.0,m_mu=m47_mu*F_e_mu*exp(delta_tau_v2_action_mu); m_tau=m47_tau/F_e_tau*exp(delta_tau_v2_action_tau),document F screen/release combined with full tau_v2 action gate,True,True,True,False,False
doc_F_plus_tau_v2_full_action,mu,161.78212199744527,105.6583755,1.5311812360530308,0.5311812360530308,m_mu=m47_mu*F_e_mu*exp(delta_tau_v2_action_mu); m_tau=m47_tau/F_e_tau*exp(delta_tau_v2_action_tau),document F screen/release combined with full tau_v2 action gate,True,True,True,False,False
doc_F_plus_tau_v2_full_action,tau,3762.993654673617,1776.86,2.1177772332505755,1.1177772332505755,m_mu=m47_mu*F_e_mu*exp(delta_tau_v2_action_mu); m_tau=m47_tau/F_e_tau*exp(delta_tau_v2_action_tau),document F screen/release combined with full tau_v2 action gate,True,True,True,False,False
doc_F_plus_tau_v2_amplitude_gate,e,0.51099895,0.51099895,1.0,0.0,m_mu=m47_mu*F_e_mu*sqrt(exp(delta_tau_v2_action_mu)); m_tau=m47_tau/F_e_tau*sqrt(exp(delta_tau_v2_action_tau)),document F screen/release plus amplitude-level tau_v2 action gate,True,True,True,False,False
doc_F_plus_tau_v2_amplitude_gate,mu,207.80394574447405,105.6583755,1.9667531775034157,0.9667531775034157,m_mu=m47_mu*F_e_mu*sqrt(exp(delta_tau_v2_action_mu)); m_tau=m47_tau/F_e_tau*sqrt(exp(delta_tau_v2_action_tau)),document F screen/release plus amplitude-level tau_v2 action gate,True,True,True,False,False
doc_F_plus_tau_v2_amplitude_gate,tau,2864.485431483047,1776.86,1.6121053045726996,0.6121053045726996,m_mu=m47_mu*F_e_mu*sqrt(exp(delta_tau_v2_action_mu)); m_tau=m47_tau/F_e_tau*sqrt(exp(delta_tau_v2_action_tau)),document F screen/release plus amplitude-level tau_v2 action gate,True,True,True,False,False
