category,file,line_range,status,summary,canonical_action
scaling,MetaTheory_260218_073120.txt,L23-L24,historical_ansatz,"Mass scaling by Collatz orbit length with sector-dependent exponent and scale calibrated to a single point such as electron or charm.","Use as Debt 9 lead, but replace sector-dependent free scales with one global anchor plus Ramanujan/zeta-Heisenberg scaling."
scaling,README.md,L77-L80,historical_ansatz,"Global calibration constant S anchored to a well-measured observable, typically neutrino splitting.","Supports one-anchor strategy, but should be converted from splitting-anchor to one-mass-anchor if Debt 9 asks for one SM mass."
scaling,Formal_SM.pdf,L334-L345,historical_fit,"Neutrino scale anchored to atmospheric splitting; matches one splitting by construction.","Keep as caution: anchor discipline must be explicit; not a prediction for anchored observable."
scaling,Kappa_from_geometry.pdf,L328-L430,failed_path,"Electron anchor with simple power law fails charged leptons; quark sectors use separate anchors.","Do not import as canon; use as negative evidence that simple single power law is insufficient."
scaling,NoParamSM/noparamSMsolver.py,L154-L175,prototype_with_input_leakage,"MassEngine uses PDG masses as reference and modulates them by O_I fluctuations.","Do not count as derivation; can reuse zeta-Heisenberg fluctuation rule, not PDG-reference mass engine."
ckm,MetaTheory_260218_073120.txt,L773-L875,historical_derivation_candidate,"CKM mixing comes from Berry phase differences and cycle overlap; provides Cabibbo, Vus, Vub, Vcb matrix entries.","Mine mechanism; rewrite using v2.x axis grammar and gate type labels."
ckm,MetaTheory_260218_073120.txt,L875-L925,historical_derivation_candidate,"CP violation/Jarlskog from resonance phase volume; order-of-magnitude discrepancy admitted.","Use as CKM/CP debt source; needs recalculation with Euler-Berry spin and zeta-Heisenberg fluctuation."
pmns,simulations/Metatime_Framework(1).py,L21-L58,computational_prototype,"PMNS angles are inserted from known values; CP phase set to zero because CP is assumed topological.","Useful only as simulator shell; not a derivation."
pmns,Formal_SM.pdf,L382-L404,debt_candidate,"Solar neutrino splitting needs pairwise white-thread correction F21; mechanism tied to Euler-Berry redistribution.","Good target for future neutrino/PMNS debt; classify as partial, not closed."
fermion_table,Formal_SM.pdf,L518-L545,historical_table,"Complete Metatime spectrum table lists tau-like eigenvalues, Berry phase, correction coefficient, and masses.","Useful for matching old tau-spectrum to new representation table, but not a gauge-representation derivation."
representation,Kappa_from_geometry.pdf,L492-L524,usable_interpretation,"Yukawa couplings interpreted as topological projections; off-diagonal terms from Berry phases.","Use to connect Debt 9 mass operator to effective Yukawa layer."
representation,Kappa_from_geometry.pdf,L583-L610,guardrail,"Gauge anomalies are preserved because metatime sector is orthogonal to SM gauge sector.","Keep as safety/compatibility lemma; not a derivation of full representation table."
fermion_table,simulations/Standard Model/README.md,L9-L24,toy_mapping,"Toy assignment of 12 fermions to cycle angles on S2.","Useful for orientation and pairwise Fij tests, not canonical table."
