id,name,classification,module_origin,source_path,evidence_path,reason,risk,permitted_use,blocked_use,doctor_verdict
TABLE-001,ARCHIVE_CANONICAL_SPECTRUM,TAINTED_REPLAY,37_repair3_forensic_pdg_reimport_quarantine_v3_7,36_repair2_archive_formula_source_extraction_execution / archive canonical spectrum table,37_repair3_forensic_pdg_reimport_quarantine_v3_7/results/forensic_audit_verdict_v3_7.json,All 12 rows have mass_calc equal reference and zero residual; confirmed reference table replay.,PDG/reference replay masquerading as execution if used as derivation.,Quarantine evidence only; never mass derivation input; never Debt 9 closure.,"No formula selection, no scale fitting, no current/canon promotion.",QUARANTINE_MODULE36_DENY_CANON_DENY_CURRENT
TABLE-002,ARCHIVE_NOPARAMSM_ENSEMBLE / NoParamSM solver outputs,TAINTED_REPLAY,37_repair3_forensic_pdg_reimport_quarantine_v3_7,NoParamSM/noparamSMsolver.py archived formula / module36 extraction,37_repair3_forensic_pdg_reimport_quarantine_v3_7/results/forensic_audit_verdict_v3_7.json,NoParamSM engine was previously classified as prototype_with_input_leakage; rerun confirms PDG input mutation follows outputs.,Mass engine uses observed masses internally and modulates them; not a no-parameter derivation.,Regression test and quarantine marker only.,No predictive mass-spectrum claim; no Debt 9 closure.,QUARANTINE_MODULE36_DENY_CANON_DENY_CURRENT
TABLE-003,ARCHIVE_EXTENDED_MONOLITH_BOSON_ENSEMBLE,TAINTED_REPLAY,37_repair3_forensic_pdg_reimport_quarantine_v3_7,module36 extended monolith output family,37_repair3_forensic_pdg_reimport_quarantine_v3_7/results/forensic_audit_rerun_stats_v3_7.json,Belongs to the same quarantined module36/extended monolith source family; low residuals are not accepted without PDG-free provenance.,Possible reference-coupled replay or hidden calibration.,Quarantine evidence; compare only after independent derivation is supplied.,"No direct derivation, no canon/current promotion.",QUARANTINE_MODULE36_DENY_CANON_DENY_CURRENT
TABLE-004,ARCHIVE_EXTENDED_MONOLITH_NUCLEON_ENSEMBLE,TAINTED_REPLAY,37_repair3_forensic_pdg_reimport_quarantine_v3_7,module36 extended monolith output family,37_repair3_forensic_pdg_reimport_quarantine_v3_7/results/forensic_audit_rerun_stats_v3_7.json,Belongs to the same quarantined module36/extended monolith source family; low residuals are not accepted without PDG-free provenance.,Possible reference-coupled replay or hidden calibration.,Quarantine evidence; compare only after independent derivation is supplied.,"No direct derivation, no canon/current promotion.",QUARANTINE_MODULE36_DENY_CANON_DENY_CURRENT
TABLE-005,ARCHIVE_EXTENDED_MONOLITH_BINDING_ENSEMBLE,TAINTED_REPLAY,37_repair3_forensic_pdg_reimport_quarantine_v3_7,module36 extended monolith output family,37_repair3_forensic_pdg_reimport_quarantine_v3_7/results/forensic_audit_rerun_stats_v3_7.json,Belongs to the same quarantined module36/extended monolith source family; low residuals are not accepted without PDG-free provenance.,Possible reference-coupled replay or hidden calibration.,Quarantine evidence; compare only after independent derivation is supplied.,"No direct derivation, no canon/current promotion.",QUARANTINE_MODULE36_DENY_CANON_DENY_CURRENT
TABLE-006,F_hadron geometric mean prescription,STRUCTURAL_HINT,58_debt9_hadron_scale_provenance_audit_v5_8,00_original_metatime/Metatime-main/documents/SM_and_M_Theory_generalisation.pdf,58_debt9_hadron_scale_provenance_audit_v5_8/results/hadron_scale_provenance_audit_v5_8.json,"Baryons and mesons are constructed from quark F_ij values via a geometric-mean prescription F_hadron = product(F_qi,qj)^(1/Npairs).",No independent MeV scale is shown in the same table.,Can seed future operator family after freeze; no MeV scale input.,No mass prediction or Debt 9 closure until independent route is frozen and benchmarked.,DENY_CURRENT_UNTIL_SCALE_PROVENANCE
TABLE-007,SM_and_M_Theory exact baryon table,UNKNOWN_PROVENANCE,58_debt9_hadron_scale_provenance_audit_v5_8,00_original_metatime/Metatime-main/documents/SM_and_M_Theory_generalisation.pdf,58_debt9_hadron_scale_provenance_audit_v5_8/results/hadron_scale_provenance_audit_v5_8.json,"Table lists Proton 938.3 vs 938.3, Neutron 939.6 vs 939.6, Lambda 1115.7 vs 1115.7, Sigma+ 1189.4 vs 1189.4 with 0.0% errors.",Exact equality to displayed benchmark precision requires executable provenance before promotion.,"Hold as provenance-required result table only; exact equality is not rejected, but cannot promote without executable scale route.",No mass prediction or Debt 9 closure until independent route is frozen and benchmarked.,DENY_CURRENT_UNTIL_SCALE_PROVENANCE
TABLE-008,Formal_SM baryon binding formula,STRUCTURAL_HINT,58_debt9_hadron_scale_provenance_audit_v5_8,58_debt9_hadron_scale_provenance_audit_v5_8 source audit text,58_debt9_hadron_scale_provenance_audit_v5_8/METATIME_SM_DEBT9_HADRON_SCALE_PROVENANCE_AUDIT_v5_8.md,"Classified by v5.8 text; exact/marginal results are not rejected, but need independent executable scale provenance before promotion.",Unclear scale provenance or benchmark coupling.,Formula/operator clue only; E_bind needs independent derivation.,No mass prediction or Debt 9 closure until independent route is frozen and benchmarked.,DENY_CURRENT_UNTIL_SCALE_PROVENANCE
TABLE-009,Formal_SM mixed baryon binding table,SCORING_ONLY,58_debt9_hadron_scale_provenance_audit_v5_8,00_original_metatime/Metatime-main/documents/Formal_SM.pdf,58_debt9_hadron_scale_provenance_audit_v5_8/results/hadron_scale_provenance_audit_v5_8.json,"Proton/neutron/Sigma/Xi close; Lambda deviates strongly, suggesting additional dynamics or SU(3)-breaking corrections.",Not an exact universal closure; shows real residuals and missing dynamics.,Diagnostic residual table only; mixed accuracy blocks universal closure.,No mass prediction or Debt 9 closure until independent route is frozen and benchmarked.,DENY_CURRENT_UNTIL_SCALE_PROVENANCE
TABLE-010,Calabi_Yau2 calibrated baryon table/warning,SCORING_ONLY,58_debt9_hadron_scale_provenance_audit_v5_8,00_original_metatime/Metatime-main/documents/Calabi_Yau2.pdf,58_debt9_hadron_scale_provenance_audit_v5_8/results/hadron_scale_provenance_audit_v5_8.json,Binding energy scale 5-50 MeV for light quarks; meson beta calibrated to PDG masses; compare to PDG and iterate small adjustment of F_ij if needed.,Explicit calibration/iteration language blocks no-parameter promotion.,"Calibration/iteration evidence; useful warning against underbound scale, not derivation.",No mass prediction or Debt 9 closure until independent route is frozen and benchmarked.,DENY_CURRENT_UNTIL_SCALE_PROVENANCE
TABLE-011,Perfect numbers prime-product sigma/R(n) baryon route,STRUCTURAL_HINT,58_debt9_hadron_scale_provenance_audit_v5_8,00_original_metatime/Metatime-main/documents/Perfect_numbers_and_rhe_strings.pdf,58_debt9_hadron_scale_provenance_audit_v5_8/results/hadron_scale_provenance_audit_v5_8.json,"Hadron mapped to product of quark primes; for proton u↔3,d↔5, n_p=45, sigma(45)=78, R(45)=1.73; mismatch acknowledged and harmonic corrections required.",No final MeV-scale map from R(n)/L(n) to hadron masses is completed there.,Clean route candidate for v5.9-like operator; not a benchmark table input.,No mass prediction or Debt 9 closure until independent route is frozen and benchmarked.,DENY_CURRENT_UNTIL_SCALE_PROVENANCE
TABLE-012,v4.4 sealed M_MT benchmark,SCORING_ONLY,44_debt9_mmt_sealed_benchmark_v4_4,44_debt9_mmt_sealed_benchmark_v4_4/results/sealed_mmt_benchmark_v4_4.json,44_debt9_mmt_sealed_benchmark_v4_4/results/sealed_mmt_benchmark_v4_4.json,Post-freeze benchmark only; frozen operator not mutated; result falsifies direct mass-spectrum interpretation.,Reusing benchmark rows as formula inputs would create hidden fit/replay risk.,Scoring-only after freeze; regression tests; historical evidence.,No operator construction or scale normalization from this table unless explicitly reclassified in a future provenance audit.,SCORING_ONLY_DENY_INPUT_REUSE
TABLE-013,v4.6 document formula selection benchmark,SCORING_ONLY,46_debt9_document_formula_selection_benchmark_v4_6,46_debt9_document_formula_selection_benchmark_v4_6/results/document_formula_selection_benchmark_v4_6.json,46_debt9_document_formula_selection_benchmark_v4_6/results/document_formula_selection_benchmark_v4_6.json,"Document formula route benchmarked after formula selection; family anchor makes it diagnostic, not no-parameter prediction.",Reusing benchmark rows as formula inputs would create hidden fit/replay risk.,Scoring-only after freeze; regression tests; historical evidence.,No operator construction or scale normalization from this table unless explicitly reclassified in a future provenance audit.,SCORING_ONLY_DENY_INPUT_REUSE
