particle,mode,computed_mass_MeV,reference_mass_MeV,reported_error,dependency_classification,status,note
e,ARCHIVE_CANONICAL_SPECTRUM,,,0.0,copied_reference_or_canonical_table,REFERENCE_RECONSTRUCTION_NOT_DERIVATION,classification is based on source mode labels and available columns; not a physics proof
mu,ARCHIVE_CANONICAL_SPECTRUM,,,0.0,copied_reference_or_canonical_table,REFERENCE_RECONSTRUCTION_NOT_DERIVATION,classification is based on source mode labels and available columns; not a physics proof
tau,ARCHIVE_CANONICAL_SPECTRUM,,,0.0,copied_reference_or_canonical_table,REFERENCE_RECONSTRUCTION_NOT_DERIVATION,classification is based on source mode labels and available columns; not a physics proof
nu1,ARCHIVE_CANONICAL_SPECTRUM,,,0.0,copied_reference_or_canonical_table,REFERENCE_RECONSTRUCTION_NOT_DERIVATION,classification is based on source mode labels and available columns; not a physics proof
nu2,ARCHIVE_CANONICAL_SPECTRUM,,,0.0,copied_reference_or_canonical_table,REFERENCE_RECONSTRUCTION_NOT_DERIVATION,classification is based on source mode labels and available columns; not a physics proof
nu3,ARCHIVE_CANONICAL_SPECTRUM,,,0.0,copied_reference_or_canonical_table,REFERENCE_RECONSTRUCTION_NOT_DERIVATION,classification is based on source mode labels and available columns; not a physics proof
u,ARCHIVE_CANONICAL_SPECTRUM,,,0.0,copied_reference_or_canonical_table,REFERENCE_RECONSTRUCTION_NOT_DERIVATION,classification is based on source mode labels and available columns; not a physics proof
d,ARCHIVE_CANONICAL_SPECTRUM,,,0.0,copied_reference_or_canonical_table,REFERENCE_RECONSTRUCTION_NOT_DERIVATION,classification is based on source mode labels and available columns; not a physics proof
s,ARCHIVE_CANONICAL_SPECTRUM,,,0.0,copied_reference_or_canonical_table,REFERENCE_RECONSTRUCTION_NOT_DERIVATION,classification is based on source mode labels and available columns; not a physics proof
c,ARCHIVE_CANONICAL_SPECTRUM,,,0.0,copied_reference_or_canonical_table,REFERENCE_RECONSTRUCTION_NOT_DERIVATION,classification is based on source mode labels and available columns; not a physics proof
b,ARCHIVE_CANONICAL_SPECTRUM,,,0.0,copied_reference_or_canonical_table,REFERENCE_RECONSTRUCTION_NOT_DERIVATION,classification is based on source mode labels and available columns; not a physics proof
t,ARCHIVE_CANONICAL_SPECTRUM,,,0.0,copied_reference_or_canonical_table,REFERENCE_RECONSTRUCTION_NOT_DERIVATION,classification is based on source mode labels and available columns; not a physics proof
