source_path,line,topic,keywords,excerpt,context
00_original_metatime/Metatime-main/NoParamSM/gluons.py,35,tau_eigenvalue,eigenvalue,# 2. Generate τ eigenvalues for 8 gluons from twin primes,"33: 
34: # =============================================================================
35: # 2. Generate τ eigenvalues for 8 gluons from twin primes
36: # =============================================================================
37: "
00_original_metatime/Metatime-main/NoParamSM/gluons.py,47,tau_eigenvalue,Collatz;tau,"def collatz_tau(seed: int, s: float = 0.5) -> float:","45:     return twins
46: 
47: def collatz_tau(seed: int, s: float = 0.5) -> float:
48:     # Uproszczenie: τ = seed (w pełnej teorii z orbit Collatza)
49:     return float(seed)"
00_original_metatime/Metatime-main/NoParamSM/gluons.py,56,tau_eigenvalue,Collatz;tau,τ = collatz_tau(seed),"54: for i, (p1, p2) in enumerate(twin_pairs):
55:     seed = p1 + 1
56:     τ = collatz_tau(seed)
57:     τ_gluons.append(τ)
58:     print(f""  Gluon g{i+1}: ({p1}, {p2}) -> seed = {seed} -> τ = {τ:.1f}"")"
00_original_metatime/Metatime-main/NoParamSM/gluons.py,223,mass_or_fermion,fermion,"# Zakładamy, że skala jest proporcjonalna do τ (jak w masach fermionów)","221: print(f""\nτ range: min = {τ_min:.1f}, max = {τ_max:.1f}"")
222: 
223: # Zakładamy, że skala jest proporcjonalna do τ (jak w masach fermionów)
224: mu_min = mu_star * (τ_min / τ_max)
225: mu_max = mu_star"
00_original_metatime/Metatime-main/NoParamSM/gluonsfull.py,36,tau_eigenvalue,tau;up,"def tau_from_twins(twin_pairs: List[Tuple[int, int]]) -> np.ndarray:","34:     return twins
35: 
36: def tau_from_twins(twin_pairs: List[Tuple[int, int]]) -> np.ndarray:
37:     """"""
38:     Dla każdej pary (p, p+2) zwraca τ = p+1."
00_original_metatime/Metatime-main/NoParamSM/gluonsfull.py,49,mass_or_fermion,fermion,BETA_FERMION = 0.414     # wykładnik dla fermionów (z mas),"47: ALPHA_C = 0.474812      # współczynnik kinetyczny pola informacji (1/g^2)
48: I0 = 0.009               # operator intencji
49: BETA_FERMION = 0.414     # wykładnik dla fermionów (z mas)
50: M_E = 0.511              # masa elektronu w MeV
51: TAU_E = 4.0              # τ elektronu (z generatora)"
00_original_metatime/Metatime-main/NoParamSM/gluonsfull.py,51,tau_eigenvalue,tau,TAU_E = 4.0              # τ elektronu (z generatora),"49: BETA_FERMION = 0.414     # wykładnik dla fermionów (z mas)
50: M_E = 0.511              # masa elektronu w MeV
51: TAU_E = 4.0              # τ elektronu (z generatora)
52: 
53: # Stałe QCD"
00_original_metatime/Metatime-main/NoParamSM/gluonsfull.py,73,tau_eigenvalue,tau,self.tau = tau_from_twins(twin_pairs),"71:             twin_pairs = generate_twin_primes(8)
72:         self.twin_pairs = twin_pairs
73:         self.tau = tau_from_twins(twin_pairs)
74:         self._compute_all()
75: "
00_original_metatime/Metatime-main/NoParamSM/gluonsfull.py,85,mass_or_fermion,fermion;tau,self.M0 = M_E / (TAU_E ** BETA_FERMION)   # MeV,"83: 
84:         # Skala masy M0 z elektronu
85:         self.M0 = M_E / (TAU_E ** BETA_FERMION)   # MeV
86: 
87:         # Masa glueballa"
00_original_metatime/Metatime-main/NoParamSM/gluonsfull.py,88,tau_eigenvalue,tau,self.sum_tau2 = np.sum(self.tau ** 2),"86: 
87:         # Masa glueballa
88:         self.sum_tau2 = np.sum(self.tau ** 2)
89:         self.m_glueball_MeV = self.M0 * self.alpha_c * self.sum_tau2
90:         self.m_glueball_GeV = self.m_glueball_MeV / 1000.0"
